Numfront:	
61	
	
AUGMECON-II:	15
9240.41256	2398.85693
9221.85955	2417.14120
9211.10725	2424.55063
10152.47452	2245.33809
9732.16629	2302.99843
9208.97459	2431.83374
9225.90873	2414.19442
9894.58988	2263.15514
9918.94339	2262.02061
10144.49259	2247.98937
	
NSGA-II_7:	67
11047.56198	2260.24201
9863.11107	2531.76580
11047.56198	2260.24201
10971.70610	2264.67474
10744.63656	2273.28501
10839.01600	2268.01325
10763.16011	2272.44598
10041.35718	2408.72039
9881.14164	2507.68939
9902.97201	2493.67589
9984.43102	2429.95145
10221.83301	2315.86083
10255.91915	2308.08959
10069.24974	2407.67684
9885.49333	2504.87812
9869.44023	2517.91917
9921.00258	2469.59948
10899.66809	2266.90350
10208.88296	2337.09189
10368.75367	2290.71789
10335.29178	2297.09939
10289.38104	2301.70808
10691.12210	2274.67474
10178.28070	2348.06019
9903.52391	2480.80171
9984.19016	2439.71059
9931.61779	2458.60929
10012.32359	2428.90789
9903.52391	2480.80171
10221.59215	2325.61997
10680.99218	2274.79430
9914.13911	2469.81152
10125.00281	2356.82163
10899.66809	2266.90350
10953.18254	2265.51377
9973.81582	2440.94164
10643.33385	2276.28515
9973.57496	2450.70078
9887.47080	2493.84276
10109.79717	2364.75974
10096.84712	2385.99080
9957.76272	2453.98269
10109.55631	2374.51888
10144.19456	2355.83143
10159.08895	2349.05039
10091.76660	2388.83615
10289.38104	2301.70808
10327.03937	2300.21723
10406.41201	2289.22703
10533.09828	2281.45579
10082.93453	2397.00466
10109.79717	2364.75974
10041.11632	2418.47953
10605.13629	2279.22703
10018.51716	2422.18020
10643.33385	2276.28515
10495.43995	2282.94665
10567.47796	2280.71789
10440.79168	2288.48913
10075.44332	2400.94915
10478.45002	2286.99827
10188.93766	2342.33425
9965.70393	2450.83804
10106.97224	2380.89804
10971.70610	2264.67474
10586.61274	2280.06605
10459.92646	2287.83730
	
NSGA-II_8:	41
10426.65640	2219.18998
9507.63851	2379.53313
10005.82210	2226.58844
10280.07187	2223.51868
